Month,Export Country,Export Continent,US Dollar Value,Tonnes,Data Type
Jan,Australia,Oceania,8820273.00,5653.91,Actual
Feb,Australia,Oceania,9588458.48,6535.91,Estimate
Mar,Australia,Oceania,9724467.61,6654.16,Estimate
Apr,Australia,Oceania,9860476.73,6772.40,Estimate
May,Australia,Oceania,9996485.86,6890.64,Estimate
Jun,Australia,Oceania,10132494.98,7008.89,Estimate
Jul,Australia,Oceania,10268504.11,7127.13,Estimate
Aug,Australia,Oceania,10404513.23,7245.37,Estimate
Sep,Australia,Oceania,10540522.36,7363.62,Estimate
Oct,Australia,Oceania,10676531.48,7481.86,Estimate
Nov,Australia,Oceania,10812540.61,7600.10,Estimate
Dec,Australia,Oceania,10948549.73,7718.35,Estimate
Feb,Austria,Europe,60264.99,21.42,Estimate
Mar,Austria,Europe,56019.93,19.05,Estimate
Apr,Austria,Europe,51774.87,16.68,Estimate
May,Austria,Europe,47529.82,14.32,Estimate
Jun,Austria,Europe,43284.76,11.95,Estimate
Jul,Austria,Europe,39039.70,9.58,Estimate
Aug,Austria,Europe,34794.64,7.21,Estimate
Sep,Austria,Europe,30549.59,4.84,Estimate
Oct,Austria,Europe,26304.53,2.48,Estimate
Dec,Austria,Europe,149004.40,41.70,Estimate
Feb,Bahamas,Latin America,44811.27,2.42,Estimate
Mar,Bahamas,Latin America,44967.72,2.51,Estimate
Apr,Bahamas,Latin America,45124.16,2.61,Estimate
May,Bahamas,Latin America,45280.61,2.70,Estimate
Jun,Bahamas,Latin America,45437.06,2.79,Estimate
Jul,Bahamas,Latin America,45593.50,2.89,Estimate
Aug,Bahamas,Latin America,45749.95,2.98,Estimate
Sep,Bahamas,Latin America,45906.40,3.07,Estimate
Oct,Bahamas,Latin America,46062.84,3.17,Estimate
Nov,Bahamas,Latin America,46219.29,3.26,Estimate
Dec,Bahamas,Latin America,46375.74,3.35,Estimate
Jan,Bahrain,Asia,1096595.00,621.90,Actual
Feb,Bahrain,Asia,1316143.88,935.45,Estimate
Mar,Bahrain,Asia,1297023.61,931.57,Estimate
Apr,Bahrain,Asia,1277903.33,927.69,Estimate
May,Bahrain,Asia,1258783.06,923.80,Estimate
Jun,Bahrain,Asia,1239662.78,919.92,Estimate
Jul,Bahrain,Asia,1220542.51,916.04,Estimate
Aug,Bahrain,Asia,1201422.23,912.16,Estimate
Sep,Bahrain,Asia,1182301.95,908.28,Estimate
Oct,Bahrain,Asia,1163181.68,904.39,Estimate
Nov,Bahrain,Asia,1144061.40,900.51,Estimate
Dec,Bahrain,Asia,1124941.13,896.63,Estimate
Jan,Belgium,Europe,2117918.00,1411.52,Actual
Feb,Belgium,Europe,1289676.50,1066.29,Estimate
Mar,Belgium,Europe,1176847.13,1008.90,Estimate
Apr,Belgium,Europe,1064017.76,951.50,Estimate
May,Belgium,Europe,951188.39,894.11,Estimate
Jun,Belgium,Europe,838359.01,836.72,Estimate
Jul,Belgium,Europe,725529.64,779.33,Estimate
Aug,Belgium,Europe,612700.27,721.93,Estimate
Sep,Belgium,Europe,499870.90,664.54,Estimate
Oct,Belgium,Europe,387041.53,607.15,Estimate
Nov,Belgium,Europe,274212.16,549.75,Estimate
Dec,Belgium,Europe,161382.79,492.36,Estimate
Jan,Belize,Latin America,29720.00,21.00,Actual
Jan,Benin,Africa,1300546.00,857.44,Actual
Feb,Benin,Africa,1147396.60,835.40,Estimate
Mar,Benin,Africa,1159186.95,846.70,Estimate
Apr,Benin,Africa,1170977.30,858.00,Estimate
May,Benin,Africa,1182767.65,869.30,Estimate
Jun,Benin,Africa,1194558.00,880.60,Estimate
Jul,Benin,Africa,1206348.34,891.90,Estimate
Aug,Benin,Africa,1218138.69,903.20,Estimate
Sep,Benin,Africa,1229929.04,914.50,Estimate
Oct,Benin,Africa,1241719.39,925.80,Estimate
Nov,Benin,Africa,1253509.74,937.10,Estimate
Dec,Benin,Africa,1265300.08,948.40,Estimate
Jan,Bolivia (Plurinational State of),Latin America,39961.00,22.80,Actual
Feb,Bolivia (Plurinational State of),Latin America,35471.19,7.99,Estimate
Mar,Bolivia (Plurinational State of),Latin America,35766.45,8.18,Estimate
Apr,Bolivia (Plurinational State of),Latin America,36061.70,8.37,Estimate
May,Bolivia (Plurinational State of),Latin America,36356.95,8.56,Estimate
Jun,Bolivia (Plurinational State of),Latin America,36652.21,8.76,Estimate
Jul,Bolivia (Plurinational State of),Latin America,36947.46,8.95,Estimate
Aug,Bolivia (Plurinational State of),Latin America,37242.71,9.14,Estimate
Sep,Bolivia (Plurinational State of),Latin America,37537.97,9.33,Estimate
Oct,Bolivia (Plurinational State of),Latin America,37833.22,9.52,Estimate
Nov,Bolivia (Plurinational State of),Latin America,38128.48,9.71,Estimate
Dec,Bolivia (Plurinational State of),Latin America,38423.73,9.90,Estimate
Feb,Botswana,Africa,15002.58,3.37,Estimate
Mar,Botswana,Africa,15062.55,3.42,Estimate
Apr,Botswana,Africa,15122.53,3.47,Estimate
May,Botswana,Africa,15182.51,3.52,Estimate
Jun,Botswana,Africa,15242.48,3.56,Estimate
Jul,Botswana,Africa,15302.46,3.61,Estimate
Aug,Botswana,Africa,15362.44,3.66,Estimate
Sep,Botswana,Africa,15422.42,3.71,Estimate
Oct,Botswana,Africa,15482.39,3.75,Estimate
Nov,Botswana,Africa,15542.37,3.80,Estimate
Dec,Botswana,Africa,15602.35,3.85,Estimate
Jan,Brazil,Latin America,759140.00,471.89,Actual
Feb,Brazil,Latin America,461342.58,280.60,Estimate
Mar,Brazil,Latin America,472067.05,288.11,Estimate
Apr,Brazil,Latin America,482791.52,295.63,Estimate
May,Brazil,Latin America,493515.99,303.14,Estimate
Jun,Brazil,Latin America,504240.46,310.66,Estimate
Jul,Brazil,Latin America,514964.93,318.17,Estimate
Aug,Brazil,Latin America,525689.41,325.69,Estimate
Sep,Brazil,Latin America,536413.88,333.20,Estimate
Oct,Brazil,Latin America,547138.35,340.71,Estimate
Nov,Brazil,Latin America,557862.82,348.23,Estimate
Dec,Brazil,Latin America,568587.29,355.74,Estimate
Jan,Bulgaria,Europe,95345.00,68.00,Actual
Feb,Bulgaria,Europe,139087.92,107.20,Estimate
Mar,Bulgaria,Europe,134535.68,105.61,Estimate
Apr,Bulgaria,Europe,129983.44,104.01,Estimate
May,Bulgaria,Europe,125431.21,102.42,Estimate
Jun,Bulgaria,Europe,120878.97,100.83,Estimate
Jul,Bulgaria,Europe,116326.73,99.23,Estimate
Aug,Bulgaria,Europe,111774.50,97.64,Estimate
Sep,Bulgaria,Europe,107222.26,96.05,Estimate
Oct,Bulgaria,Europe,102670.02,94.45,Estimate
Nov,Bulgaria,Europe,98117.79,92.86,Estimate
Dec,Bulgaria,Europe,93565.55,91.27,Estimate
Feb,Cameroon,Africa,63790.16,9.48,Estimate
Mar,Cameroon,Africa,63696.23,9.51,Estimate
Apr,Cameroon,Africa,63602.30,9.54,Estimate
May,Cameroon,Africa,63508.37,9.57,Estimate
Jun,Cameroon,Africa,63414.44,9.60,Estimate
Jul,Cameroon,Africa,63320.51,9.63,Estimate
Aug,Cameroon,Africa,63226.57,9.66,Estimate
Sep,Cameroon,Africa,63132.64,9.69,Estimate
Oct,Cameroon,Africa,63038.71,9.73,Estimate
Nov,Cameroon,Africa,62944.78,9.76,Estimate
Dec,Cameroon,Africa,62850.85,9.79,Estimate
Jan,Canada,North America,93363.00,65.00,Actual
Feb,Canada,North America,645474.48,453.29,Estimate
Mar,Canada,North America,656338.86,462.07,Estimate
Apr,Canada,North America,667203.23,470.84,Estimate
May,Canada,North America,678067.61,479.62,Estimate
Jun,Canada,North America,688931.98,488.39,Estimate
Jul,Canada,North America,699796.36,497.17,Estimate
Aug,Canada,North America,710660.73,505.95,Estimate
Sep,Canada,North America,721525.11,514.72,Estimate
Oct,Canada,North America,732389.48,523.50,Estimate
Nov,Canada,North America,743253.85,532.27,Estimate
Dec,Canada,North America,754118.23,541.05,Estimate
Jan,Cape Verde,Africa,15858.00,10.00,Actual
Feb,Cape Verde,Africa,23230.96,15.71,Estimate
Mar,Cape Verde,Africa,23604.34,16.00,Estimate
Apr,Cape Verde,Africa,23977.73,16.28,Estimate
May,Cape Verde,Africa,24351.11,16.57,Estimate
Jun,Cape Verde,Africa,24724.50,16.86,Estimate
Jul,Cape Verde,Africa,25097.88,17.15,Estimate
Aug,Cape Verde,Africa,25471.26,17.44,Estimate
Sep,Cape Verde,Africa,25844.65,17.73,Estimate
Oct,Cape Verde,Africa,26218.03,18.02,Estimate
Nov,Cape Verde,Africa,26591.41,18.31,Estimate
Dec,Cape Verde,Africa,26964.80,18.60,Estimate
Jan,Chile,Latin America,856669.00,557.92,Actual
Feb,Chile,Latin America,729945.81,484.37,Estimate
Mar,Chile,Latin America,749624.49,498.43,Estimate
Apr,Chile,Latin America,769303.17,512.50,Estimate
May,Chile,Latin America,788981.85,526.57,Estimate
Jun,Chile,Latin America,808660.54,540.63,Estimate
Jul,Chile,Latin America,828339.22,554.70,Estimate
Aug,Chile,Latin America,848017.90,568.77,Estimate
Sep,Chile,Latin America,867696.58,582.83,Estimate
Oct,Chile,Latin America,887375.27,596.90,Estimate
Nov,Chile,Latin America,907053.95,610.97,Estimate
Dec,Chile,Latin America,926732.63,625.03,Estimate
Jan,China,Asia,85684.00,46.81,Actual
Feb,China,Asia,55028.45,27.68,Estimate
Mar,China,Asia,55882.03,28.26,Estimate
Apr,China,Asia,56735.62,28.84,Estimate
May,China,Asia,57589.20,29.42,Estimate
Jun,China,Asia,58442.79,30.01,Estimate
Jul,China,Asia,59296.37,30.59,Estimate
Aug,China,Asia,60149.96,31.17,Estimate
Sep,China,Asia,61003.54,31.75,Estimate
Oct,China,Asia,61857.13,32.33,Estimate
Nov,China,Asia,62710.71,32.92,Estimate
Dec,China,Asia,63564.30,33.50,Estimate
Jan,Colombia,Latin America,108198.00,69.00,Actual
Feb,Colombia,Latin America,233010.24,153.84,Estimate
Mar,Colombia,Latin America,237290.10,158.09,Estimate
Apr,Colombia,Latin America,241569.95,162.35,Estimate
May,Colombia,Latin America,245849.81,166.60,Estimate
Jun,Colombia,Latin America,250129.67,170.86,Estimate
Jul,Colombia,Latin America,254409.53,175.11,Estimate
Aug,Colombia,Latin America,258689.39,179.36,Estimate
Sep,Colombia,Latin America,262969.25,183.62,Estimate
Oct,Colombia,Latin America,267249.11,187.87,Estimate
Nov,Colombia,Latin America,271528.97,192.13,Estimate
Dec,Colombia,Latin America,275808.83,196.38,Estimate
Jan,Congo,Africa,67194.00,44.00,Actual
Feb,Congo,Africa,141427.56,90.85,Estimate
Mar,Congo,Africa,141747.33,91.50,Estimate
Apr,Congo,Africa,142067.10,92.15,Estimate
May,Congo,Africa,142386.87,92.80,Estimate
Jun,Congo,Africa,142706.64,93.45,Estimate
Jul,Congo,Africa,143026.41,94.10,Estimate
Aug,Congo,Africa,143346.18,94.75,Estimate
Sep,Congo,Africa,143665.95,95.40,Estimate
Oct,Congo,Africa,143985.72,96.05,Estimate
Nov,Congo,Africa,144305.50,96.70,Estimate
Dec,Congo,Africa,144625.27,97.35,Estimate
Feb,Costa Rica,Latin America,55492.38,11.19,Estimate
Mar,Costa Rica,Latin America,56001.87,11.56,Estimate
Apr,Costa Rica,Latin America,56511.36,11.93,Estimate
May,Costa Rica,Latin America,57020.85,12.31,Estimate
Jun,Costa Rica,Latin America,57530.34,12.68,Estimate
Jul,Costa Rica,Latin America,58039.83,13.06,Estimate
Aug,Costa Rica,Latin America,58549.32,13.43,Estimate
Sep,Costa Rica,Latin America,59058.81,13.80,Estimate
Oct,Costa Rica,Latin America,59568.30,14.18,Estimate
Nov,Costa Rica,Latin America,60077.79,14.55,Estimate
Dec,Costa Rica,Latin America,60587.28,14.93,Estimate
Jan,Cyprus,Asia,25076.00,16.00,Actual
Feb,Cyprus,Asia,181572.57,137.03,Estimate
Mar,Cyprus,Asia,176832.76,135.79,Estimate
Apr,Cyprus,Asia,172092.96,134.55,Estimate
May,Cyprus,Asia,167353.16,133.31,Estimate
Jun,Cyprus,Asia,162613.36,132.07,Estimate
Jul,Cyprus,Asia,157873.55,130.83,Estimate
Aug,Cyprus,Asia,153133.75,129.59,Estimate
Sep,Cyprus,Asia,148393.95,128.35,Estimate
Oct,Cyprus,Asia,143654.15,127.11,Estimate
Nov,Cyprus,Asia,138914.34,125.87,Estimate
Dec,Cyprus,Asia,134174.54,124.63,Estimate
Jan,Dem. Rep. of the Congo,Africa,62212.00,41.00,Actual
Feb,Dem. Rep. of the Congo,Africa,111509.82,6.99,Estimate
Mar,Dem. Rep. of the Congo,Africa,108222.27,5.08,Estimate
Apr,Dem. Rep. of the Congo,Africa,104934.73,3.17,Estimate
May,Dem. Rep. of the Congo,Africa,101647.19,1.26,Estimate
Jun,Dem. Rep. of the Congo,Africa,35642.26,27.22,Estimate
Jul,Dem. Rep. of the Congo,Africa,37132.51,28.36,Estimate
Aug,Dem. Rep. of the Congo,Africa,29937.22,22.86,Estimate
Sep,Dem. Rep. of the Congo,Africa,37113.64,28.34,Estimate
Oct,Dem. Rep. of the Congo,Africa,38515.33,29.41,Estimate
Nov,Dem. Rep. of the Congo,Africa,34840.13,26.61,Estimate
Dec,Dem. Rep. of the Congo,Africa,32274.97,24.65,Estimate
Jan,Denmark,Europe,191313.00,133.00,Actual
Feb,Denmark,Europe,132966.74,84.92,Estimate
Mar,Denmark,Europe,124154.20,80.28,Estimate
Apr,Denmark,Europe,115341.67,75.65,Estimate
May,Denmark,Europe,106529.13,71.01,Estimate
Jun,Denmark,Europe,97716.59,66.37,Estimate
Jul,Denmark,Europe,88904.05,61.74,Estimate
Aug,Denmark,Europe,80091.51,57.10,Estimate
Sep,Denmark,Europe,71278.98,52.46,Estimate
Oct,Denmark,Europe,62466.44,47.83,Estimate
Nov,Denmark,Europe,53653.90,43.19,Estimate
Dec,Denmark,Europe,44841.36,38.55,Estimate
Feb,Dominica,Latin America,55625.16,3.83,Estimate
Mar,Dominica,Latin America,55844.20,3.98,Estimate
Apr,Dominica,Latin America,56063.24,4.13,Estimate
May,Dominica,Latin America,56282.27,4.29,Estimate
Jun,Dominica,Latin America,56501.31,4.44,Estimate
Jul,Dominica,Latin America,56720.34,4.59,Estimate
Aug,Dominica,Latin America,56939.38,4.75,Estimate
Sep,Dominica,Latin America,57158.42,4.90,Estimate
Oct,Dominica,Latin America,57377.45,5.05,Estimate
Nov,Dominica,Latin America,57596.49,5.20,Estimate
Dec,Dominica,Latin America,57815.52,5.36,Estimate
Jan,Dominican Rep.,Latin America,368946.00,243.58,Actual
Feb,Dominican Rep.,Latin America,276834.29,183.21,Estimate
Mar,Dominican Rep.,Latin America,281471.09,187.13,Estimate
Apr,Dominican Rep.,Latin America,286107.89,191.05,Estimate
May,Dominican Rep.,Latin America,290744.69,194.97,Estimate
Jun,Dominican Rep.,Latin America,295381.49,198.90,Estimate
Jul,Dominican Rep.,Latin America,300018.29,202.82,Estimate
Aug,Dominican Rep.,Latin America,304655.09,206.74,Estimate
Sep,Dominican Rep.,Latin America,309291.89,210.66,Estimate
Oct,Dominican Rep.,Latin America,313928.69,214.59,Estimate
Nov,Dominican Rep.,Latin America,318565.49,218.51,Estimate
Dec,Dominican Rep.,Latin America,323202.29,222.43,Estimate
Feb,Ecuador,Latin America,99859.41,36.13,Estimate
Mar,Ecuador,Latin America,99633.02,36.31,Estimate
Apr,Ecuador,Latin America,99406.63,36.50,Estimate
May,Ecuador,Latin America,99180.24,36.68,Estimate
Jun,Ecuador,Latin America,98953.85,36.86,Estimate
Jul,Ecuador,Latin America,98727.46,37.04,Estimate
Aug,Ecuador,Latin America,98501.07,37.22,Estimate
Sep,Ecuador,Latin America,98274.68,37.40,Estimate
Oct,Ecuador,Latin America,98048.29,37.58,Estimate
Nov,Ecuador,Latin America,97821.90,37.76,Estimate
Dec,Ecuador,Latin America,97595.52,37.94,Estimate
Jan,El Salvador,Latin America,69993.00,45.00,Actual
Feb,El Salvador,Latin America,120927.24,59.84,Estimate
Mar,El Salvador,Latin America,123017.73,61.33,Estimate
Apr,El Salvador,Latin America,125108.22,62.83,Estimate
May,El Salvador,Latin America,127198.71,64.32,Estimate
Jun,El Salvador,Latin America,129289.20,65.82,Estimate
Jul,El Salvador,Latin America,131379.69,67.31,Estimate
Aug,El Salvador,Latin America,133470.18,68.81,Estimate
Sep,El Salvador,Latin America,135560.67,70.30,Estimate
Oct,El Salvador,Latin America,137651.16,71.79,Estimate
Nov,El Salvador,Latin America,139741.65,73.29,Estimate
Dec,El Salvador,Latin America,141832.13,74.78,Estimate
Feb,Estonia,Europe,41584.26,3.29,Estimate
Mar,Estonia,Europe,40309.66,2.51,Estimate
Apr,Estonia,Europe,39035.06,1.73,Estimate
Jan,Finland,Europe,377281.00,234.00,Actual
Feb,Finland,Europe,585061.92,408.56,Estimate
Mar,Finland,Europe,584490.22,410.90,Estimate
Apr,Finland,Europe,583918.52,413.24,Estimate
May,Finland,Europe,583346.81,415.57,Estimate
Jun,Finland,Europe,582775.11,417.91,Estimate
Jul,Finland,Europe,582203.41,420.24,Estimate
Aug,Finland,Europe,581631.71,422.58,Estimate
Sep,Finland,Europe,581060.01,424.92,Estimate
Oct,Finland,Europe,580488.31,427.25,Estimate
Nov,Finland,Europe,579916.61,429.59,Estimate
Dec,Finland,Europe,579344.91,431.92,Estimate
Jan,France,Europe,881871.00,599.32,Actual
Feb,France,Europe,583749.16,449.21,Estimate
Mar,France,Europe,553330.01,434.44,Estimate
Apr,France,Europe,522910.86,419.67,Estimate
May,France,Europe,492491.71,404.90,Estimate
Jun,France,Europe,462072.56,390.14,Estimate
Jul,France,Europe,431653.41,375.37,Estimate
Aug,France,Europe,401234.26,360.60,Estimate
Sep,France,Europe,370815.11,345.83,Estimate
Oct,France,Europe,340395.96,331.06,Estimate
Nov,France,Europe,309976.81,316.29,Estimate
Dec,France,Europe,279557.66,301.52,Estimate
Jan,Gambia,Africa,167666.00,113.00,Actual
Feb,Gambia,Africa,44378.68,18.11,Estimate
Mar,Gambia,Africa,42140.63,16.89,Estimate
Apr,Gambia,Africa,39902.59,15.67,Estimate
May,Gambia,Africa,37664.55,14.45,Estimate
Jun,Gambia,Africa,35426.50,13.23,Estimate
Jul,Gambia,Africa,33188.46,12.02,Estimate
Aug,Gambia,Africa,30950.41,10.80,Estimate
Sep,Gambia,Africa,28712.37,9.58,Estimate
Oct,Gambia,Africa,26474.32,8.36,Estimate
Nov,Gambia,Africa,24236.28,7.14,Estimate
Dec,Gambia,Africa,21998.23,5.92,Estimate
Jan,Georgia,Asia,162702.00,102.70,Actual
Feb,Georgia,Asia,221093.73,163.44,Estimate
Mar,Georgia,Asia,203275.30,154.99,Estimate
Apr,Georgia,Asia,185456.88,146.55,Estimate
May,Georgia,Asia,167638.46,138.10,Estimate
Jun,Georgia,Asia,149820.03,129.65,Estimate
Jul,Georgia,Asia,132001.61,121.20,Estimate
Aug,Georgia,Asia,114183.19,112.76,Estimate
Sep,Georgia,Asia,96364.76,104.31,Estimate
Oct,Georgia,Asia,78546.34,95.86,Estimate
Nov,Georgia,Asia,60727.92,87.41,Estimate
Dec,Georgia,Asia,42909.50,78.97,Estimate
Jan,Germany,Europe,3878735.00,2638.42,Actual
Feb,Germany,Europe,2915202.54,2215.96,Estimate
Mar,Germany,Europe,2883611.00,2211.75,Estimate
Apr,Germany,Europe,2852019.47,2207.55,Estimate
May,Germany,Europe,2820427.94,2203.34,Estimate
Jun,Germany,Europe,2788836.41,2199.13,Estimate
Jul,Germany,Europe,2757244.88,2194.93,Estimate
Aug,Germany,Europe,2725653.34,2190.72,Estimate
Sep,Germany,Europe,2694061.81,2186.52,Estimate
Oct,Germany,Europe,2662470.28,2182.31,Estimate
Nov,Germany,Europe,2630878.75,2178.10,Estimate
Dec,Germany,Europe,2599287.22,2173.90,Estimate
Jan,Ghana,Africa,302321.00,207.23,Actual
Feb,Ghana,Africa,981358.00,743.42,Estimate
Mar,Ghana,Africa,968684.51,740.80,Estimate
Apr,Ghana,Africa,956011.02,738.18,Estimate
May,Ghana,Africa,943337.53,735.56,Estimate
Jun,Ghana,Africa,930664.04,732.94,Estimate
Jul,Ghana,Africa,917990.55,730.32,Estimate
Aug,Ghana,Africa,905317.05,727.70,Estimate
Sep,Ghana,Africa,892643.56,725.08,Estimate
Oct,Ghana,Africa,879970.07,722.46,Estimate
Nov,Ghana,Africa,867296.58,719.84,Estimate
Dec,Ghana,Africa,854623.09,717.22,Estimate
Jan,Greece,Europe,272783.00,177.36,Actual
Feb,Greece,Europe,475214.39,359.51,Estimate
Mar,Greece,Europe,469711.54,359.41,Estimate
Apr,Greece,Europe,464208.69,359.31,Estimate
May,Greece,Europe,458705.83,359.21,Estimate
Jun,Greece,Europe,453202.98,359.12,Estimate
Jul,Greece,Europe,447700.13,359.02,Estimate
Aug,Greece,Europe,442197.28,358.92,Estimate
Sep,Greece,Europe,436694.43,358.82,Estimate
Oct,Greece,Europe,431191.57,358.72,Estimate
Nov,Greece,Europe,425688.72,358.62,Estimate
Dec,Greece,Europe,420185.87,358.52,Estimate
Jan,Guatemala,Latin America,94581.00,62.00,Actual
Feb,Guatemala,Latin America,177832.09,77.29,Estimate
Mar,Guatemala,Latin America,181851.60,79.99,Estimate
Apr,Guatemala,Latin America,185871.11,82.69,Estimate
May,Guatemala,Latin America,189890.62,85.39,Estimate
Jun,Guatemala,Latin America,193910.13,88.08,Estimate
Jul,Guatemala,Latin America,197929.64,90.78,Estimate
Aug,Guatemala,Latin America,201949.15,93.48,Estimate
Sep,Guatemala,Latin America,205968.66,96.18,Estimate
Oct,Guatemala,Latin America,209988.17,98.88,Estimate
Nov,Guatemala,Latin America,214007.68,101.58,Estimate
Dec,Guatemala,Latin America,218027.19,104.28,Estimate
Jan,Guinea,Africa,508119.00,346.87,Actual
Feb,Guinea,Africa,372956.03,276.85,Estimate
Mar,Guinea,Africa,375349.19,279.90,Estimate
Apr,Guinea,Africa,377742.34,282.95,Estimate
May,Guinea,Africa,380135.50,286.00,Estimate
Jun,Guinea,Africa,382528.66,289.05,Estimate
Jul,Guinea,Africa,384921.81,292.10,Estimate
Aug,Guinea,Africa,387314.97,295.15,Estimate
Sep,Guinea,Africa,389708.12,298.19,Estimate
Oct,Guinea,Africa,392101.28,301.24,Estimate
Nov,Guinea,Africa,394494.43,304.29,Estimate
Dec,Guinea,Africa,396887.59,307.34,Estimate
Jan,Haiti,Latin America,33854.00,21.00,Actual
Feb,Haiti,Latin America,68380.29,9.54,Estimate
Mar,Haiti,Latin America,68562.93,9.68,Estimate
Apr,Haiti,Latin America,68745.56,9.81,Estimate
May,Haiti,Latin America,68928.19,9.95,Estimate
Jun,Haiti,Latin America,69110.83,10.08,Estimate
Jul,Haiti,Latin America,69293.46,10.22,Estimate
Aug,Haiti,Latin America,69476.09,10.35,Estimate
Sep,Haiti,Latin America,69658.73,10.49,Estimate
Oct,Haiti,Latin America,69841.36,10.62,Estimate
Nov,Haiti,Latin America,70024.00,10.76,Estimate
Dec,Haiti,Latin America,70206.63,10.89,Estimate
Feb,Honduras,Latin America,113908.51,46.02,Estimate
Mar,Honduras,Latin America,114302.03,46.50,Estimate
Apr,Honduras,Latin America,114695.55,46.98,Estimate
May,Honduras,Latin America,115089.06,47.46,Estimate
Jun,Honduras,Latin America,115482.58,47.94,Estimate
Jul,Honduras,Latin America,115876.09,48.42,Estimate
Aug,Honduras,Latin America,116269.61,48.90,Estimate
Sep,Honduras,Latin America,116663.12,49.37,Estimate
Oct,Honduras,Latin America,117056.64,49.85,Estimate
Nov,Honduras,Latin America,117450.15,50.33,Estimate
Dec,Honduras,Latin America,117843.67,50.81,Estimate
Jan,Hong Kong,Asia,63971.00,42.00,Actual
